Time	 x	y	z	roll	pitch	yaw
(s)	 (m)	(m)	(m)	(deg)	(deg)	(deg)
0	 0	 0	 5	 -0	 0	 -0
0.001	 -0.000185435	 0	 4.99958	 -0	 0.228094	 0
0.002	 -0.000729748	 0	 4.99834	 -0	 0.905668	 0
0.003	 -0.00160994	 0	 4.9963	 -0	 2.02362	 0
0.004	 -0.00279562	 0	 4.99351	 -0	 3.57253	 0
0.005	 -0.00424964	 0	 4.99	 -0	 5.54243	 0
0.006	 -0.00592893	 0	 4.9858	 -0	 7.92255	 0
0.007	 -0.00778541	 3.92604e-22	 4.98095	 5.9114e-20	 10.7011	 -1.56785e-19
0.008	 -0.00976721	 -1.08676e-20	 4.97548	 2.01038e-17	 13.8652	 -3.87202e-19
0.009	 -0.0118201	 1.51873e-21	 4.96942	 2.32616e-17	 17.4003	 -7.04638e-18
0.01	 -0.0138891	 1.21224e-20	 4.9628	 180	 158.709	 -180
0.011	 -0.0159207	 -5.62273e-20	 4.95563	 2.8052e-17	 25.5186	 1.07797e-17
0.012	 -0.0178641	 -1.83594e-19	 4.94793	 2.08648e-16	 30.0653	 -2.18631e-17
0.013	 -0.0196739	 -2.49019e-19	 4.93968	 2.79389e-16	 34.9106	 -3.4343e-17
0.014	 -0.0213114	 -3.12353e-19	 4.9309	 3.43048e-16	 40.0329	 -5.03124e-17
0.015	 -0.0227462	 -4.29229e-19	 4.92155	 4.77536e-16	 45.4097	 -9.85809e-17
0.016	 -0.0239573	 -6.05101e-19	 4.91163	 7.21378e-16	 51.0175	 -2.16024e-16
0.017	 -0.0249338	 -7.30434e-19	 4.90109	 9.70878e-16	 56.832	 -3.74521e-16
0.018	 -0.0256761	 -8.98776e-19	 4.8899	 1.3581e-15	 62.8273	 -6.5202e-16
0.019	 -0.026196	 -1.0704e-18	 4.878	 1.95952e-15	 68.9762	 -1.14401e-15
0.02	 -0.0265172	 -1.27031e-18	 4.86534	 3.06026e-15	 75.2489	 -2.12789e-15
0.021	 -0.0266755	 -1.46253e-18	 4.85186	 5.74602e-15	 81.6122	 -4.70419e-15
0.022	 -0.0267185	 -1.66366e-18	 4.83749	 2.56501e-14	 88.0291	 -2.45015e-14
0.023	 -0.0267035	 -1.85222e-18	 4.8222	 180	 85.5418	 -180
0.024	 -0.0266943	 -2.02342e-18	 4.80595	 180	 79.1465	 -180
0.025	 -0.026756	 -2.17246e-18	 4.78873	 180	 72.8341	 -180
0.026	 -0.0269488	 -2.30034e-18	 4.77056	 180	 66.6558	 -180
0.027	 -0.0273215	 -2.3379e-18	 4.75148	 180	 60.6626	 -180
0.028	 -0.0279061	 -2.4567e-18	 4.73157	 180	 54.9032	 -180
0.029	 -0.0287154	 -2.54481e-18	 4.71091	 180	 49.4216	 -180
0.03	 -0.0297428	 -2.61209e-18	 4.6896	 180	 44.2566	 -180
0.031	 -0.0309639	 -2.69637e-18	 4.66775	 180	 39.44	 -180
0.032	 -0.0323413	 -2.70357e-18	 4.64547	 180	 34.9972	 -180
0.033	 -0.0338284	 -2.78848e-18	 4.62285	 180	 30.9472	 -180
0.034	 -0.035374	 -2.87918e-18	 4.6	 180	 27.3031	 -180
0.035	 -0.0369268	 -2.86526e-18	 4.57699	 180	 24.0733	 -180
0.036	 -0.0384377	 -2.78241e-18	 4.5539	 180	 21.262	 -180
0.037	 -0.0398628	 -2.72245e-18	 4.5308	 180	 18.8703	 -180
0.038	 -0.0411642	 -2.63133e-18	 4.50777	 180	 16.8965	 -180
0.039	 -0.0423115	 -2.59228e-18	 4.48485	 180	 15.3372	 -180
0.04	 -0.0432814	 -2.5284e-18	 4.46211	 180	 14.1875	 -180
0.041	 -0.0440583	 -2.40785e-18	 4.4396	 180	 13.4412	 -180
0.042	 -0.0446337	 -2.28268e-18	 4.41737	 180	 13.0915	 -180
0.043	 -0.045006	 -2.1441e-18	 4.39548	 180	 13.1307	 -180
0.044	 -0.04518	 -1.96704e-18	 4.37397	 180	 13.5506	 -180
0.045	 -0.0451663	 -1.75422e-18	 4.35291	 180	 14.3424	 -180
0.046	 -0.0449808	 -1.51175e-18	 4.33232	 180	 15.4966	 -180
0.047	 -0.0446437	 -1.30745e-18	 4.31226	 180	 17.0032	 -180
0.048	 -0.0441794	 -1.09273e-18	 4.29278	 180	 18.8513	 -180
0.049	 -0.0436149	 -8.88304e-19	 4.27391	 180	 21.0294	 -180
0.05	 -0.0429794	 -7.01608e-19	 4.25568	 180	 23.525	 -180
0.051	 -0.0423032	 -6.22405e-19	 4.23813	 180	 26.325	 -180
0.052	 -0.0416165	 -5.75015e-19	 4.22128	 180	 29.415	 -180
0.053	 -0.0409482	 -4.6765e-19	 4.20515	 180	 32.7801	 -180
0.054	 -0.0403252	 -3.55956e-19	 4.18976	 180	 36.4044	 -180
0.055	 -0.0397711	 -2.2456e-19	 4.17511	 180	 40.2715	 -180
0.056	 -0.0393054	 -7.14486e-20	 4.16119	 180	 44.3642	 -180
0.057	 -0.0389426	 3.33482e-20	 4.14801	 180	 48.6652	 -180
0.058	 -0.0386921	 1.04713e-19	 4.13555	 180	 53.1564	 -180
0.059	 -0.0385573	 2.0356e-19	 4.12379	 180	 57.8196	 -180
0.06	 -0.0385357	 3.44113e-19	 4.1127	 180	 62.636	 -180
0.061	 -0.0386185	 4.84154e-19	 4.10226	 180	 67.5862	 -180
0.062	 -0.0387904	 6.71582e-19	 4.09241	 180	 72.6498	 -180
0.063	 -0.0390295	 8.2684e-19	 4.08313	 180	 77.8049	 -180
0.064	 -0.0393074	 9.822e-19	 4.07435	 180	 83.0276	 -180
0.065	 -0.0395893	 1.13511e-18	 4.06604	 180	 88.2913	 -180
0.066	 -0.0398351	 1.29843e-18	 4.05814	 8.45664e-15	 86.4333	 -7.10124e-15
0.067	 -0.0400006	 1.47125e-18	 4.05063	 2.64466e-15	 81.1785	 -1.24014e-15
0.068	 -0.04004	 1.63027e-18	 4.04346	 1.19814e-15	 75.9791	 2.55549e-16
0.069	 -0.0399093	 1.81082e-18	 4.03664	 5.32228e-16	 70.8719	 9.57216e-16
0.07	 -0.0395688	 2.06151e-18	 4.03015	 1.03307e-16	 65.8944	 1.38659e-15
0.071	 -0.0389869	 2.27606e-18	 4.02403	 180	 118.916	 -180
0.072	 -0.0381418	 2.50323e-18	 4.01828	 180	 123.525	 -180
0.073	 -0.037023	 2.83041e-18	 4.01297	 180	 127.899	 -180
0.074	 -0.0356313	 3.26021e-18	 4.00812	 180	 132.008	 -180
0.075	 -0.0339774	 3.78896e-18	 4.00379	 180	 135.829	 -180
0.076	 -0.0320807	 4.29359e-18	 4.00002	 180	 139.341	 -180
0.077	 -0.029967	 4.81503e-18	 3.99687	 180	 142.525	 -180
0.078	 -0.0276659	 5.35543e-18	 3.99436	 180	 145.371	 -180
0.079	 -0.025209	 5.92023e-18	 3.99253	 180	 147.868	 -180
0.08	 -0.0226279	 6.59777e-18	 3.99141	 180	 150.009	 -180
0.081	 -0.0199527	 7.31295e-18	 3.99102	 180	 151.792	 -180
0.082	 -0.0172106	 8.1421e-18	 3.99137	 180	 153.215	 -180
0.083	 -0.0144253	 8.96599e-18	 3.99246	 180	 154.279	 -180
0.084	 -0.0116163	 9.85594e-18	 3.99431	 180	 154.984	 -180
0.085	 -0.00879887	 1.07817e-17	 3.99691	 180	 155.335	 -180
0.086	 -0.00598304	 1.17405e-17	 4.00026	 180	 155.337	 -180
0.087	 -0.00316911	 1.27639e-17	 4.00436	 180	 154.994	 -180
0.088	 -0.000343556	 1.37427e-17	 4.00919	 180	 154.313	 -180
0.089	 0.0024941	 1.46711e-17	 4.01473	 180	 153.302	 -180
0.09	 0.0053444	 1.55267e-17	 4.02094	 180	 151.97	 -180
0.091	 0.00821318	 1.63444e-17	 4.02781	 180	 150.326	 -180
0.092	 0.0111094	 1.71692e-17	 4.03531	 180	 148.38	 -180
0.093	 0.0140437	 1.79566e-17	 4.04342	 180	 146.145	 -180
0.094	 0.0170276	 1.87057e-17	 4.05209	 180	 143.631	 -180
0.095	 0.0200722	 1.94168e-17	 4.0613	 180	 140.851	 -180
0.096	 0.0231876	 2.01999e-17	 4.07099	 180	 137.82	 -180
0.097	 0.026382	 2.08504e-17	 4.08113	 180	 134.552	 -180
0.098	 0.0296608	 2.14267e-17	 4.09166	 180	 131.061	 -180
0.099	 0.0330261	 2.19584e-17	 4.10254	 180	 127.364	 -180
0.1	 0.0364761	 2.25115e-17	 4.1137	 180	 123.477	 -180
0.101	 0.0400045	 2.30195e-17	 4.12509	 180	 119.417	 -180
0.102	 0.0436003	 2.34883e-17	 4.13663	 180	 115.202	 -180
0.103	 0.0472475	 2.3935e-17	 4.14827	 180	 110.851	 -180
0.104	 0.0509245	 2.43298e-17	 4.15994	 180	 106.385	 -180
0.105	 0.0546044	 2.46638e-17	 4.17155	 180	 101.825	 -180
0.106	 0.0582548	 2.49631e-17	 4.18305	 180	 97.1944	 -180
0.107	 0.0618383	 2.52012e-17	 4.19437	 180	 92.5193	 -180
0.108	 0.065313	 2.53589e-17	 4.20543	 6.36111e-13	 92.1725	 -6.4445e-13
0.109	 0.0686344	 2.54248e-17	 4.2162	 2.03555e-13	 96.8512	 -2.11534e-13
0.11	 0.0717562	 2.53853e-17	 4.22661	 1.27222e-13	 101.485	 -1.34748e-13
0.111	 0.0746336	 2.5212e-17	 4.23665	 7.63333e-14	 106.04	 -8.40179e-14
0.112	 0.0772249	 2.4945e-17	 4.24629	 7.63333e-14	 110.483	 -8.27024e-14
0.113	 0.0794941	 2.46223e-17	 4.25553	 5.08889e-14	 114.782	 -5.78901e-14
0.114	 0.0814126	 2.42185e-17	 4.26437	 5.08889e-14	 118.902	 -5.66773e-14
0.115	 0.0829605	 2.3686e-17	 4.27283	 5.08889e-14	 122.815	 -5.52592e-14
0.116	 0.084127	 2.30656e-17	 4.28093	 2.54444e-14	 126.493	 -3.32444e-14
0.117	 0.0849098	 2.22346e-17	 4.28872	 2.54444e-14	 129.911	 -3.25033e-14
0.118	 0.0853144	 2.13041e-17	 4.29621	 2.54444e-14	 133.048	 -3.17111e-14
0.119	 0.0853523	 2.02858e-17	 4.30344	 2.54444e-14	 135.887	 -3.08993e-14
0.12	 0.0850396	 1.92826e-17	 4.31045	 2.54444e-14	 138.414	 -3.01288e-14
0.121	 0.0843951	 1.82181e-17	 4.31726	 2.54444e-14	 140.619	 -2.93901e-14
0.122	 0.0834391	 1.71094e-17	 4.32389	 2.54444e-14	 142.492	 -2.87051e-14
0.123	 0.0821914	 1.59906e-17	 4.33037	 2.54444e-14	 144.028	 -2.8103e-14
0.124	 0.0806712	 1.49716e-17	 4.33672	 2.54444e-14	 145.226	 -2.7622e-14
0.125	 0.0788952	 1.38979e-17	 4.34295	 2.54444e-14	 146.084	 -2.72069e-14
0.126	 0.076878	 1.28469e-17	 4.34908	 2.54444e-14	 146.602	 -2.68932e-14
0.127	 0.0746311	 1.17413e-17	 4.35511	 2.54444e-14	 146.785	 -2.66501e-14
0.128	 0.0721634	 1.0673e-17	 4.36104	 2.54444e-14	 146.636	 -2.65071e-14
0.129	 0.0694806	 9.57953e-18	 4.36688	 2.54444e-14	 146.16	 -2.64333e-14
0.13	 0.0665863	 8.44262e-18	 4.37263	 2.54444e-14	 145.364	 -2.64119e-14
0.131	 0.0634815	 7.33249e-18	 4.37829	 2.54444e-14	 144.257	 -2.64576e-14
0.132	 0.0601657	 6.14973e-18	 4.38385	 5.08889e-14	 142.848	 -4.18908e-14
0.133	 0.0566372	 4.99942e-18	 4.3893	 5.08889e-14	 141.146	 -4.26011e-14
0.134	 0.0528938	 3.76195e-18	 4.39463	 5.08889e-14	 139.162	 -4.3379e-14
0.135	 0.0489335	 2.42705e-18	 4.39983	 5.08889e-14	 136.909	 -4.41848e-14
0.136	 0.0447549	 1.07544e-18	 4.40488	 5.08889e-14	 134.4	 -4.5017e-14
0.137	 0.0403585	 -3.38378e-19	 4.40976	 5.08889e-14	 131.648	 -4.58241e-14
0.138	 0.0357468	 -1.78124e-18	 4.41445	 5.08889e-14	 128.668	 -4.65775e-14
0.139	 0.030925	 -3.29566e-18	 4.41891	 7.63333e-14	 125.476	 -6.79483e-14
0.14	 0.0259019	 -4.84338e-18	 4.42313	 7.63333e-14	 122.087	 -6.92992e-14
0.141	 0.0206898	 -6.45175e-18	 4.42707	 1.01778e-13	 118.519	 -9.27961e-14
0.142	 0.0153055	 -8.08422e-18	 4.43068	 1.01778e-13	 114.791	 -9.44175e-14
0.143	 0.00977013	 -9.73433e-18	 4.43395	 1.27222e-13	 110.92	 -1.19427e-13
0.144	 0.0041096	 -1.14163e-17	 4.43682	 1.52667e-13	 106.927	 -1.45133e-13
0.145	 -0.0016455	 -1.30507e-17	 4.43926	 2.29e-13	 102.833	 -2.20815e-13
0.146	 -0.0074599	 -1.46699e-17	 4.44123	 3.30778e-13	 98.6619	 -3.22957e-13
0.147	 -0.0132941	 -1.62249e-17	 4.4427	 6.61555e-13	 94.4367	 -6.53956e-13
0.148	 -0.0191048	 -1.77168e-17	 4.44363	 1.59791e-11	 90.1835	 -1.59737e-11
0.149	 -0.0248462	 -1.91331e-17	 4.44401	 180	 94.0704	 -180
0.15	 -0.0304712	 -2.04468e-17	 4.4438	 180	 98.2962	 -180
0.151	 -0.0359327	 -2.16404e-17	 4.44301	 180	 102.464	 -180
0.152	 -0.041186	 -2.26629e-17	 4.44163	 180	 106.545	 -180
0.153	 -0.0461898	 -2.34983e-17	 4.43968	 180	 110.508	 -180
0.154	 -0.0509084	 -2.42214e-17	 4.43718	 180	 114.325	 -180
0.155	 -0.0553126	 -2.48685e-17	 4.43417	 180	 117.968	 -180
0.156	 -0.0593802	 -2.54156e-17	 4.43067	 180	 121.41	 -180
0.157	 -0.0630965	 -2.57876e-17	 4.42675	 180	 124.63	 -180
0.158	 -0.0664535	 -2.59563e-17	 4.42243	 180	 127.606	 -180
0.159	 -0.0694491	 -2.6028e-17	 4.41778	 180	 130.322	 -180
0.16	 -0.0720864	 -2.58771e-17	 4.41285	 180	 132.761	 -180
0.161	 -0.0743721	 -2.54938e-17	 4.40768	 180	 134.913	 -180
0.162	 -0.0763152	 -2.50734e-17	 4.40231	 180	 136.769	 -180
0.163	 -0.0779262	 -2.45658e-17	 4.3968	 180	 138.321	 -180
0.164	 -0.0792159	 -2.41644e-17	 4.39118	 180	 139.567	 -180
0.165	 -0.0801946	 -2.36996e-17	 4.38548	 180	 140.503	 -180
0.166	 -0.0808716	 -2.31599e-17	 4.37975	 180	 141.131	 -180
0.167	 -0.0812548	 -2.25083e-17	 4.37401	 180	 141.451	 -180
0.168	 -0.0813501	 -2.18262e-17	 4.36828	 180	 141.467	 -180
0.169	 -0.0811622	 -2.10856e-17	 4.36259	 180	 141.183	 -180
0.17	 -0.0806939	 -2.03556e-17	 4.35696	 180	 140.605	 -180
0.171	 -0.0799466	 -1.95734e-17	 4.35141	 180	 139.74	 -180
0.172	 -0.0789206	 -1.87197e-17	 4.34594	 180	 138.597	 -180
0.173	 -0.0776157	 -1.77713e-17	 4.34057	 180	 137.183	 -180
0.174	 -0.0760313	 -1.67019e-17	 4.3353	 180	 135.511	 -180
0.175	 -0.0741672	 -1.56398e-17	 4.33014	 180	 133.589	 -180
0.176	 -0.072024	 -1.45442e-17	 4.32509	 180	 131.431	 -180
0.177	 -0.0696033	 -1.33404e-17	 4.32014	 180	 129.048	 -180
0.178	 -0.0669089	 -1.205e-17	 4.31529	 180	 126.454	 -180
0.179	 -0.0639464	 -1.0781e-17	 4.31054	 180	 123.663	 -180
0.18	 -0.0607244	 -9.36426e-18	 4.30585	 180	 120.689	 -180
0.181	 -0.0572542	 -7.83609e-18	 4.30123	 180	 117.549	 -180
0.182	 -0.0535506	 -6.27819e-18	 4.29665	 180	 114.256	 -180
0.183	 -0.0496316	 -4.71478e-18	 4.2921	 180	 110.83	 -180
0.184	 -0.0455193	 -3.12746e-18	 4.28755	 180	 107.287	 -180
0.185	 -0.0412389	 -1.42906e-18	 4.28297	 180	 103.645	 -180
0.186	 -0.0368198	 2.47047e-19	 4.27835	 180	 99.9252	 -180
0.187	 -0.0322943	 1.93003e-18	 4.27367	 180	 96.1475	 -180
0.188	 -0.0276983	 3.60789e-18	 4.26889	 180	 92.3339	 -180
0.189	 -0.0230695	 5.2442e-18	 4.26401	 2.748e-12	 91.4924	 -2.75292e-12
0.19	 -0.0184477	 6.82119e-18	 4.25901	 7.63333e-13	 95.3073	 -7.67673e-13
0.191	 -0.0138729	 8.3337e-18	 4.25389	 4.58e-13	 99.0858	 -4.61766e-13
0.192	 -0.00938479	 9.76533e-18	 4.24865	 3.05333e-13	 102.802	 -3.09107e-13
0.193	 -0.00502083	 1.10575e-17	 4.24328	 2.54444e-13	 106.431	 -2.5718e-13
0.194	 -0.00081551	 1.22179e-17	 4.23782	 2.03555e-13	 109.947	 -2.06127e-13
0.195	 0.00320085	 1.32083e-17	 4.23228	 1.78111e-13	 113.325	 -1.79872e-13
0.196	 0.00700288	 1.40732e-17	 4.22669	 1.52667e-13	 116.543	 -1.54303e-13
0.197	 0.0105705	 1.4864e-17	 4.22108	 1.27222e-13	 119.578	 -1.29674e-13
0.198	 0.013889	 1.55356e-17	 4.2155	 1.27222e-13	 122.41	 -1.27613e-13
0.199	 0.0169488	 1.60711e-17	 4.20997	 1.01778e-13	 125.023	 -1.04593e-13
0.2	 0.0197448	 1.64795e-17	 4.20455	 1.01778e-13	 127.402	 -1.03004e-13
0.201	 0.0222757	 1.66644e-17	 4.19926	 1.01778e-13	 129.533	 -1.01384e-13
0.202	 0.024543	 1.6724e-17	 4.19415	 1.01778e-13	 131.406	 -9.98269e-14
0.203	 0.0265504	 1.65629e-17	 4.18926	 1.01778e-13	 133.013	 -9.83485e-14
0.204	 0.0283028	 1.63453e-17	 4.1846	 1.01778e-13	 134.348	 -9.70514e-14
0.205	 0.0298057	 1.60183e-17	 4.18022	 7.63333e-14	 135.408	 -7.80843e-14
0.206	 0.0310646	 1.55566e-17	 4.17614	 7.63333e-14	 136.19	 -7.74368e-14
0.207	 0.0320843	 1.49725e-17	 4.17238	 7.63333e-14	 136.693	 -7.69334e-14
0.208	 0.032869	 1.43377e-17	 4.16896	 7.63333e-14	 136.919	 -7.66055e-14
0.209	 0.033422	 1.35061e-17	 4.16588	 7.63333e-14	 136.87	 -7.64088e-14
0.21	 0.0337454	 1.26886e-17	 4.16317	 1.01778e-13	 136.55	 -9.39116e-14
0.211	 0.0338407	 1.16871e-17	 4.16083	 1.01778e-13	 135.965	 -9.42153e-14
0.212	 0.0337082	 1.05262e-17	 4.15886	 1.01778e-13	 135.12	 -9.47045e-14
0.213	 0.0333482	 9.2312e-18	 4.15727	 1.01778e-13	 134.023	 -9.53605e-14
0.214	 0.0327603	 7.84262e-18	 4.15604	 1.01778e-13	 132.682	 -9.61638e-14
0.215	 0.0319448	 6.43954e-18	 4.15518	 1.01778e-13	 131.105	 -9.71083e-14
0.216	 0.0309019	 4.91617e-18	 4.15467	 1.01778e-13	 129.302	 -9.81142e-14
0.217	 0.0296334	 3.34951e-18	 4.1545	 1.27222e-13	 127.286	 -1.19411e-13
0.218	 0.0281419	 1.73139e-18	 4.15465	 1.27222e-13	 125.065	 -1.21034e-13
0.219	 0.0264321	 -1.05786e-21	 4.15511	 1.52667e-13	 122.654	 -1.44007e-13
0.22	 0.0245104	 -1.83728e-18	 4.15584	 1.52667e-13	 120.063	 -1.46022e-13
0.221	 0.022386	 -3.74779e-18	 4.15683	 1.78111e-13	 117.308	 -1.70453e-13
0.222	 0.0200703	 -5.73845e-18	 4.15805	 2.03555e-13	 114.402	 -1.95741e-13
0.223	 0.0175778	 -7.81854e-18	 4.15946	 2.29e-13	 111.36	 -2.21695e-13
0.224	 0.0149261	 -9.99096e-18	 4.16104	 2.54444e-13	 108.198	 -2.48085e-13
0.225	 0.0121358	 -1.22133e-17	 4.16274	 3.30778e-13	 104.931	 -3.23835e-13
0.226	 0.00923049	 -1.44997e-17	 4.16454	 4.32555e-13	 101.578	 -4.25753e-13
0.227	 0.00623702	 -1.68272e-17	 4.1664	 6.10666e-13	 98.1569	 -6.04204e-13
0.228	 0.00318487	 -1.91442e-17	 4.16829	 1.06867e-12	 94.6868	 -1.06252e-12
0.229	 0.000105934	 -2.14454e-17	 4.17017	 4.24922e-12	 91.1883	 -4.24371e-12
0.23	 -0.00296608	 -2.36875e-17	 4.17202	 180	 92.3172	 -180
0.231	 -0.00599635	 -2.58365e-17	 4.17382	 180	 95.8074	 -180
0.232	 -0.00894985	 -2.78539e-17	 4.17554	 180	 99.2594	 -180
0.233	 -0.0117923	 -2.97071e-17	 4.17718	 180	 102.65	 -180
0.234	 -0.0144912	 -3.14138e-17	 4.17873	 180	 105.955	 -180
0.235	 -0.0170168	 -3.29238e-17	 4.18018	 180	 109.152	 -180
0.236	 -0.019343	 -3.42818e-17	 4.18156	 180	 112.219	 -180
0.237	 -0.0214475	 -3.54869e-17	 4.18286	 180	 115.135	 -180
0.238	 -0.0233129	 -3.64944e-17	 4.18411	 180	 117.879	 -180
0.239	 -0.0249262	 -3.73485e-17	 4.18533	 180	 120.433	 -180
0.24	 -0.0262784	 -3.81088e-17	 4.18654	 180	 122.783	 -180
0.241	 -0.0273649	 -3.86435e-17	 4.18776	 180	 124.913	 -180
0.242	 -0.0281842	 -3.90279e-17	 4.18902	 180	 126.811	 -180
0.243	 -0.0287374	 -3.91303e-17	 4.19033	 180	 128.469	 -180
0.244	 -0.0290279	 -3.91241e-17	 4.19173	 180	 129.878	 -180
0.245	 -0.0290603	 -3.90498e-17	 4.19322	 180	 131.032	 -180
0.246	 -0.0288401	 -3.88563e-17	 4.19483	 180	 131.927	 -180
0.247	 -0.0283732	 -3.86189e-17	 4.19657	 180	 132.562	 -180
0.248	 -0.0276655	 -3.83783e-17	 4.19845	 180	 132.936	 -180
0.249	 -0.0267226	 -3.80293e-17	 4.20047	 180	 133.049	 -180
0.25	 -0.0255497	 -3.74902e-17	 4.20264	 180	 132.904	 -180
0.251	 -0.0241515	 -3.68323e-17	 4.20497	 180	 132.505	 -180
0.252	 -0.0225325	 -3.59759e-17	 4.20745	 180	 131.857	 -180
0.253	 -0.0206968	 -3.49441e-17	 4.21008	 180	 130.965	 -180
0.254	 -0.0186484	 -3.37787e-17	 4.21285	 180	 129.836	 -180
0.255	 -0.0163916	 -3.24407e-17	 4.21575	 180	 128.479	 -180
0.256	 -0.0139314	 -3.09944e-17	 4.21877	 180	 126.902	 -180
0.257	 -0.0112732	 -2.93861e-17	 4.22189	 180	 125.116	 -180
0.258	 -0.00842392	 -2.76852e-17	 4.22511	 180	 123.13	 -180
0.259	 -0.00539175	 -2.58306e-17	 4.22839	 180	 120.955	 -180
0.26	 -0.00218668	 -2.37765e-17	 4.23171	 180	 118.605	 -180
0.261	 0.00117926	 -2.15787e-17	 4.23506	 180	 116.092	 -180
0.262	 0.00469174	 -1.93142e-17	 4.2384	 180	 113.429	 -180
0.263	 0.008334	 -1.69164e-17	 4.2417	 180	 110.631	 -180
0.264	 0.0120867	 -1.44195e-17	 4.24495	 180	 107.712	 -180
0.265	 0.0159277	 -1.18232e-17	 4.2481	 180	 104.689	 -180
0.266	 0.0198325	 -9.15182e-18	 4.25114	 180	 101.579	 -180
0.267	 0.0237737	 -6.43795e-18	 4.25402	 180	 98.3976	 -180
0.268	 0.0277217	 -3.68355e-18	 4.25672	 180	 95.1649	 -180
0.269	 0.031645	 -9.10137e-19	 4.25922	 180	 91.8998	 -180
0.27	 0.0355104	 1.84818e-18	 4.2615	 4.07111e-12	 91.3776	 -4.07223e-12
0.271	 0.039284	 4.57147e-18	 4.26353	 1.19589e-12	 94.6463	 -1.19647e-12
0.272	 0.0429315	 7.23469e-18	 4.2653	 7.12444e-13	 97.885	 -7.12646e-13
0.273	 0.0464195	 9.8074e-18	 4.26681	 5.08889e-13	 101.072	 -5.08741e-13
0.274	 0.0497158	 1.22626e-17	 4.26804	 3.81667e-13	 104.185	 -3.8166e-13
0.275	 0.0527908	 1.45478e-17	 4.26902	 3.30778e-13	 107.203	 -3.29805e-13
0.276	 0.0556178	 1.66938e-17	 4.26973	 2.79889e-13	 110.104	 -2.78734e-13
0.277	 0.0581736	 1.87332e-17	 4.2702	 2.29e-13	 112.87	 -2.28849e-13
0.278	 0.0604392	 2.05847e-17	 4.27045	 2.03555e-13	 115.481	 -2.03409e-13
0.279	 0.0623997	 2.22369e-17	 4.2705	 2.03555e-13	 117.919	 -2.01156e-13
0.28	 0.0640439	 2.36577e-17	 4.27037	 1.78111e-13	 120.169	 -1.76732e-13
0.281	 0.0653648	 2.48179e-17	 4.27009	 1.78111e-13	 122.218	 -1.747e-13
0.282	 0.0663585	 2.56848e-17	 4.26968	 1.52667e-13	 124.053	 -1.51562e-13
0.283	 0.0670241	 2.65315e-17	 4.26918	 1.52667e-13	 125.664	 -1.50071e-13
0.284	 0.0673631	 2.72196e-17	 4.26861	 1.52667e-13	 127.044	 -1.48703e-13
0.285	 0.0673786	 2.76813e-17	 4.26798	 1.27222e-13	 128.185	 -1.27481e-13
0.286	 0.0670753	 2.7809e-17	 4.26734	 1.27222e-13	 129.085	 -1.26659e-13
0.287	 0.0664584	 2.76638e-17	 4.26668	 1.27222e-13	 129.739	 -1.25978e-13
0.288	 0.0655339	 2.73941e-17	 4.26604	 1.27222e-13	 130.147	 -1.25511e-13
0.289	 0.0643078	 2.69983e-17	 4.26543	 1.27222e-13	 130.309	 -1.25264e-13
0.29	 0.0627864	 2.65261e-17	 4.26486	 1.27222e-13	 130.227	 -1.25255e-13
0.291	 0.0609758	 2.59425e-17	 4.26433	 1.27222e-13	 129.904	 -1.25467e-13
0.292	 0.0588822	 2.53032e-17	 4.26386	 1.27222e-13	 129.344	 -1.25912e-13
0.293	 0.0565118	 2.44573e-17	 4.26345	 1.52667e-13	 128.552	 -1.46408e-13
0.294	 0.0538711	 2.3519e-17	 4.26311	 1.52667e-13	 127.536	 -1.47444e-13
0.295	 0.0509669	 2.254e-17	 4.26282	 1.52667e-13	 126.301	 -1.48684e-13
0.296	 0.0478067	 2.1399e-17	 4.26259	 1.52667e-13	 124.857	 -1.50039e-13
0.297	 0.0443989	 2.01014e-17	 4.26241	 1.78111e-13	 123.213	 -1.72746e-13
0.298	 0.0407528	 1.85896e-17	 4.26228	 1.78111e-13	 121.378	 -1.74586e-13
0.299	 0.0368796	 1.69585e-17	 4.26217	 1.78111e-13	 119.364	 -1.76403e-13
0.3	 0.0327916	 1.5197e-17	 4.26208	 2.03555e-13	 117.182	 -2.00759e-13
0.301	 0.0285033	 1.32311e-17	 4.262	 2.29e-13	 114.843	 -2.25829e-13
0.302	 0.0240313	 1.11095e-17	 4.2619	 2.54444e-13	 112.362	 -2.51518e-13
0.303	 0.0193942	 8.83098e-18	 4.26177	 2.79889e-13	 109.751	 -2.77675e-13
0.304	 0.0146131	 6.39418e-18	 4.26158	 3.30778e-13	 107.025	 -3.28437e-13
0.305	 0.00971142	 3.87421e-18	 4.26132	 4.07111e-13	 104.199	 -4.04627e-13
0.306	 0.00471498	 1.28525e-18	 4.26097	 5.08889e-13	 101.289	 -5.06701e-13
0.307	 -0.00034821	 -1.31581e-18	 4.26051	 7.12444e-13	 98.3108	 -7.10272e-13
0.308	 -0.00544808	 -3.93161e-18	 4.25992	 1.11956e-12	 95.2825	 -1.11773e-12
0.309	 -0.0105528	 -6.56462e-18	 4.25917	 2.67167e-12	 92.2219	 -2.67028e-12
0.31	 -0.0156293	 -9.17994e-18	 4.25826	 180	 90.8521	 -180
0.311	 -0.0206435	 -1.17553e-17	 4.25718	 180	 93.9202	 -180
0.312	 -0.0255614	 -1.42639e-17	 4.25591	 180	 96.9626	 -180
